id,smoking
159962,0.11
159963,0.54
159964,0.13
159965,0.39
159966,0.87
159967,0.73
159968,0.07
159969,0.79
159970,0.08
159971,0.09
159972,0.07
159973,0.59
159974,0.59
159975,0.73
159976,0.79
159977,0.75
159978,0.12
159979,0.7
159980,0.79
159981,0.92
159982,0.6
159983,0.77
159984,0.28
159985,0.87
159986,0.95
159987,0.29
159988,0.65
159989,0.72
159990,0.24
159991,0.11
159992,0.55
159993,0.05
159994,0.11
159995,0.08
159996,0.6
159997,0.72
159998,0.26
159999,0.78
160000,0.34
160001,0.33
160002,0.2
160003,0.04
160004,0.42
160005,0.23
160006,0.27
160007,0.68
160008,0.37
160009,0.71
160010,0.72
160011,0.24
160012,0.65
160013,0.69
160014,0.07
160015,0.09
160016,0.72
160017,0.31
160018,0.68
160019,0.14
160020,0.34
160021,0.61
160022,0.9
160023,0.18
160024,0.37
160025,0.14
160026,0.06
160027,0.36
160028,0.11
160029,0.7
160030,0.29
160031,0.78
160032,0.12
160033,0.09
160034,0.97
160035,1.0
160036,0.11
160037,0.31
160038,0.57
160039,0.24
160040,0.49
160041,0.2
160042,0.46
160043,0.22
160044,0.1
160045,0.3
160046,0.38
160047,0.7
160048,0.47
160049,0.06
160050,0.78
160051,0.75
160052,0.49
160053,0.14
160054,0.47
160055,0.43
160056,0.19
160057,0.18
160058,0.68
160059,0.78
160060,0.23
160061,0.29
160062,0.81
160063,0.1
160064,0.19
160065,0.22
160066,0.54
160067,0.27
160068,0.65
160069,0.74
160070,0.07
160071,0.07
160072,0.67
160073,0.11
160074,0.62
160075,0.85
160076,0.47
160077,0.05
160078,0.45
160079,0.21
160080,0.41
160081,0.15
160082,0.22
160083,0.74
160084,0.04
160085,0.13
160086,0.05
160087,0.21
160088,0.51
160089,0.84
160090,0.76
160091,0.94
160092,0.15
160093,0.51
160094,0.06
160095,0.96
160096,0.17
160097,0.2
160098,0.49
160099,0.01
160100,0.43
160101,0.39
160102,0.75
160103,0.33
160104,0.34
160105,0.19
160106,0.04
160107,0.27
160108,0.67
160109,0.89
160110,0.46
160111,0.46
160112,0.08
160113,0.15
160114,0.59
160115,0.08
160116,0.07
160117,0.73
160118,0.73
160119,0.06
160120,0.34
160121,0.81
160122,0.22
160123,0.33
160124,0.72
160125,0.89
160126,0.32
160127,0.58
160128,0.23
160129,0.72
160130,0.48
160131,0.14
160132,0.05
160133,0.94
160134,0.89
160135,0.69
160136,0.13
160137,0.68
160138,0.72
160139,0.83
160140,0.84
160141,0.57
160142,0.07
160143,0.43
160144,0.15
160145,0.12
160146,0.16
160147,0.78
160148,0.77
160149,0.26
160150,0.24
160151,0.12
160152,0.29
160153,0.24
160154,0.66
160155,0.57
160156,0.63
160157,0.69
160158,0.35
160159,0.7
160160,0.07
160161,0.86
160162,0.17
160163,0.85
160164,0.79
160165,0.87
160166,0.58
160167,0.59
160168,0.31
160169,0.2
160170,0.95
160171,0.04
160172,0.65
160173,0.4
160174,0.57
160175,0.14
160176,0.18
160177,0.42
160178,0.64
160179,0.1
160180,0.67
160181,0.54
160182,0.79
160183,0.03
160184,0.71
160185,0.11
160186,0.55
160187,0.05
160188,0.9
160189,0.49
160190,0.15
160191,0.61
160192,0.33
160193,0.12
160194,0.23
160195,0.52
160196,0.37
160197,0.36
160198,0.32
160199,0.2
160200,0.07
160201,0.03
160202,0.87
160203,0.54
160204,0.18
160205,0.88
160206,0.23
160207,0.12
160208,0.26
160209,0.68
160210,0.12
160211,0.36
160212,0.35
160213,0.67
160214,0.16
160215,0.31
160216,0.39
160217,0.78
160218,0.42
160219,0.9
160220,0.75
160221,0.47
160222,0.56
160223,0.4
160224,0.74
160225,0.2
160226,0.21
160227,0.36
160228,0.78
160229,0.53
160230,0.62
160231,0.12
160232,0.77
160233,0.08
160234,0.19
160235,0.79
160236,0.4
160237,0.51
160238,0.16
160239,0.06
160240,0.86
160241,0.22
160242,0.5
160243,0.57
160244,0.05
160245,0.61
160246,0.81
160247,0.19
160248,0.12
160249,0.81
160250,0.43
160251,0.7
160252,0.19
160253,0.25
160254,0.81
160255,0.57
160256,0.16
160257,0.86
160258,0.06
160259,0.69
160260,0.66
160261,0.08
160262,0.11
160263,0.13
160264,0.58
160265,0.54
160266,0.78
160267,0.36
160268,0.48
160269,0.05
160270,0.15
160271,0.32
160272,0.69
160273,0.14
160274,0.16
160275,0.56
160276,0.8
160277,0.04
160278,0.4
160279,0.52
160280,0.56
160281,0.58
160282,0.53
160283,0.64
160284,0.56
160285,0.91
160286,0.73
160287,0.42
160288,0.2
160289,0.63
160290,0.8
160291,0.07
160292,0.05
160293,0.65
160294,0.13
160295,0.76
160296,0.47
160297,0.87
160298,0.09
160299,0.06
160300,0.59
160301,0.47
160302,0.25
160303,0.47
160304,0.3
160305,0.58
160306,0.79
160307,0.36
160308,0.29
160309,0.24
160310,0.02
160311,0.54
160312,0.41
160313,0.31
160314,0.67
160315,0.89
160316,0.51
160317,0.79
160318,0.9
160319,0.32
160320,0.18
160321,0.65
160322,0.62
160323,0.43
160324,0.71
160325,0.6
160326,0.71
160327,0.06
160328,0.07
160329,0.68
160330,0.07
160331,0.99
160332,0.84
160333,0.38
160334,0.59
160335,0.43
160336,0.45
160337,0.7
160338,0.23
160339,0.06
160340,0.88
160341,0.39
160342,0.48
160343,0.59
160344,0.8
160345,0.51
160346,0.51
160347,0.96
160348,0.9
160349,0.64
160350,0.48
160351,0.81
160352,0.28
160353,0.25
160354,0.28
160355,0.42
160356,0.1
160357,0.17
160358,0.1
160359,0.12
160360,0.06
160361,0.15
160362,0.06
160363,0.2
160364,0.38
160365,0.5
160366,0.09
160367,0.69
160368,0.55
160369,0.09
160370,0.94
160371,0.29
160372,0.07
160373,0.53
160374,0.79
160375,0.22
160376,0.45
160377,0.38
160378,0.86
160379,0.69
160380,0.09
160381,0.41
160382,0.63
160383,0.28
160384,0.68
160385,0.11
160386,0.17
160387,0.09
160388,0.43
160389,0.48
160390,0.76
160391,0.66
160392,0.56
160393,0.26
160394,0.04
160395,0.37
160396,0.64
160397,0.2
160398,0.8
160399,0.38
160400,0.85
160401,0.06
160402,0.54
160403,0.31
160404,0.58
160405,0.3
160406,0.63
160407,0.05
160408,0.48
160409,0.03
160410,0.1
160411,0.57
160412,0.55
160413,0.46
160414,0.17
160415,0.1
160416,0.16
160417,0.09
160418,0.15
160419,0.38
160420,0.49
160421,0.33
160422,0.63
160423,0.09
160424,0.42
160425,0.08
160426,0.35
160427,0.09
160428,0.59
160429,0.56
160430,0.56
160431,0.58
160432,0.03
160433,0.23
160434,0.41
160435,0.73
160436,0.77
160437,0.17
160438,0.9
160439,0.36
160440,0.03
160441,0.15
160442,0.52
160443,0.53
160444,0.26
160445,0.83
160446,0.58
160447,0.6
160448,0.73
160449,0.11
160450,0.15
160451,0.86
160452,0.74
160453,0.05
160454,0.31
160455,0.24
160456,0.76
160457,0.59
160458,0.34
160459,0.48
160460,0.57
160461,0.64
160462,0.86
160463,0.5
160464,0.82
160465,0.42
160466,0.12
160467,0.37
160468,0.67
160469,0.69
160470,0.76
160471,0.93
160472,0.17
160473,0.91
160474,0.72
160475,0.19
160476,0.06
160477,0.3
160478,0.52
160479,0.75
160480,0.66
160481,0.36
160482,0.07
160483,0.02
160484,0.45
160485,0.05
160486,0.12
160487,0.19
160488,0.05
160489,0.36
160490,0.29
160491,0.77
160492,0.93
160493,0.52
160494,0.34
160495,0.57
160496,0.67
160497,0.24
160498,0.22
160499,0.55
160500,0.94
160501,0.07
160502,0.54
160503,0.57
160504,0.08
160505,0.93
160506,0.83
160507,0.22
160508,0.87
160509,0.99
160510,0.37
160511,0.72
160512,0.12
160513,0.56
160514,0.49
160515,0.79
160516,0.22
160517,0.62
160518,0.05
160519,0.28
160520,0.14
160521,0.09
160522,0.68
160523,0.58
160524,0.74
160525,0.3
160526,0.2
160527,0.66
160528,0.2
160529,0.55
160530,0.21
160531,0.25
160532,0.16
160533,0.62
160534,0.51
160535,0.32
160536,0.31
160537,0.2
160538,0.7
160539,0.42
160540,0.83
160541,0.84
160542,0.82
160543,0.07
160544,0.71
160545,0.02
160546,0.52
160547,0.56
160548,0.32
160549,0.39
160550,0.39
160551,0.44
160552,0.46
160553,0.51
160554,0.4
160555,0.15
160556,0.78
160557,0.05
160558,0.24
160559,0.58
160560,0.27
160561,0.75
160562,0.64
160563,0.4
160564,0.66
160565,0.79
160566,0.16
160567,0.21
160568,0.88
160569,0.19
160570,0.83
160571,0.53
160572,0.54
160573,0.3
160574,0.52
160575,0.19
160576,0.2
160577,0.16
160578,0.77
160579,0.79
160580,0.63
160581,0.53
160582,0.68
160583,0.88
160584,0.2
160585,0.43
160586,0.81
160587,0.44
160588,0.09
160589,0.05
160590,0.46
160591,0.19
160592,0.04
160593,0.47
160594,0.47
160595,0.35
160596,0.2
160597,0.41
160598,0.25
160599,0.1
160600,0.33
160601,0.2
160602,0.87
160603,0.17
160604,0.09
160605,0.62
160606,0.19
160607,0.85
160608,0.76
160609,0.82
160610,0.05
160611,0.81
160612,0.57
160613,0.16
160614,0.46
160615,0.66
160616,0.11
160617,0.07
160618,0.2
160619,0.23
160620,0.56
160621,0.6
160622,0.35
160623,0.38
160624,0.44
160625,0.14
160626,0.3
160627,0.53
160628,0.93
160629,0.46
160630,0.19
160631,0.17
160632,0.88
160633,0.08
160634,0.27
160635,0.47
160636,0.93
160637,0.06
160638,0.45
160639,0.6
160640,0.81
160641,0.15
160642,0.6
160643,0.75
160644,0.05
160645,0.25
160646,0.16
160647,0.44
160648,0.1
160649,0.36
160650,0.65
160651,0.31
160652,0.54
160653,0.06
160654,0.09
160655,0.25
160656,0.58
160657,0.13
160658,0.46
160659,0.03
160660,0.67
160661,0.38
160662,0.81
160663,0.31
160664,0.04
160665,0.71
160666,0.08
160667,0.31
160668,0.19
160669,0.42
160670,0.37
160671,0.75
160672,0.69
160673,0.59
160674,0.9
160675,0.28
160676,0.23
160677,0.09
160678,0.55
160679,0.75
160680,0.38
160681,0.11
160682,0.06
160683,0.63
160684,0.64
160685,0.02
160686,0.31
160687,0.67
160688,0.05
160689,0.92
160690,0.66
160691,0.86
160692,0.17
160693,0.13
160694,0.6
160695,0.14
160696,0.44
160697,0.54
160698,0.56
160699,0.78
160700,0.53
160701,0.1
160702,0.25
160703,0.53
160704,0.96
160705,0.05
160706,0.21
160707,0.35
160708,0.58
160709,0.16
160710,0.49
160711,0.47
160712,0.33
160713,0.12
160714,0.15
160715,0.2
160716,0.31
160717,0.43
160718,0.5
160719,0.43
160720,0.68
160721,0.63
160722,0.45
160723,0.59
160724,0.28
160725,0.75
160726,0.37
160727,0.92
160728,0.18
160729,0.09
160730,0.68
160731,0.87
160732,0.1
160733,0.13
160734,0.07
160735,0.76
160736,0.66
160737,0.39
160738,0.77
160739,0.29
160740,0.21
160741,0.39
160742,0.35
160743,0.4
160744,0.47
160745,0.08
160746,0.1
160747,0.64
160748,0.38
160749,0.85
160750,0.34
160751,0.89
160752,0.17
160753,0.1
160754,0.23
160755,0.48
160756,0.34
160757,0.84
160758,0.04
160759,0.63
160760,0.07
160761,0.18
160762,0.24
160763,0.36
160764,0.18
160765,0.99
160766,0.33
160767,0.98
160768,0.73
160769,0.29
160770,0.62
160771,0.17
160772,0.4
160773,0.79
160774,0.67
160775,0.03
160776,0.6
160777,0.14
160778,0.23
160779,0.71
160780,0.22
160781,0.66
160782,0.67
160783,0.13
160784,0.25
160785,0.06
160786,0.73
160787,0.76
160788,0.56
160789,0.44
160790,0.88
160791,0.09
160792,0.4
160793,0.33
160794,0.31
160795,0.13
160796,0.68
160797,0.04
160798,0.18
160799,0.37
160800,0.2
160801,0.3
160802,0.11
160803,0.66
160804,0.58
160805,0.28
160806,0.09
160807,0.77
160808,0.25
160809,0.95
160810,0.59
160811,0.11
160812,0.62
160813,0.63
160814,0.2
160815,0.32
160816,0.08
160817,0.64
160818,0.77
160819,0.35
160820,0.41
160821,0.07
160822,0.85
160823,0.5
160824,0.1
160825,0.66
160826,0.14
160827,0.03
160828,0.8
160829,1.0
160830,0.03
160831,0.16
160832,0.82
160833,0.15
160834,0.31
160835,0.13
160836,0.86
160837,0.04
160838,0.49
160839,0.33
160840,0.07
160841,0.57
160842,0.42
160843,0.41
160844,0.4
160845,0.39
160846,0.15
160847,0.53
160848,0.89
160849,0.05
160850,0.52
160851,0.21
160852,0.09
160853,0.81
160854,0.82
160855,0.48
160856,0.52
160857,0.23
160858,0.04
160859,0.13
160860,0.44
160861,0.88
160862,0.17
160863,0.17
160864,0.08
160865,0.12
160866,0.74
160867,0.39
160868,0.84
160869,0.55
160870,0.54
160871,0.17
160872,0.35
160873,0.74
160874,0.29
160875,0.42
160876,0.09
160877,0.04
160878,0.6
160879,0.02
160880,0.32
160881,0.06
160882,0.51
160883,0.06
160884,0.37
160885,0.13
160886,0.05
160887,0.4
160888,0.15
160889,0.73
160890,0.13
160891,0.23
160892,0.47
160893,0.35
160894,0.05
160895,0.08
160896,0.68
160897,0.71
160898,0.53
160899,0.98
160900,0.86
160901,0.64
160902,0.55
160903,0.47
160904,0.02
160905,0.75
160906,0.3
160907,0.79
160908,0.67
160909,0.27
160910,0.53
160911,0.69
160912,0.6
160913,0.4
160914,0.15
160915,0.49
160916,0.1
160917,0.81
160918,0.59
160919,0.81
160920,0.51
160921,0.05
160922,0.98
160923,0.42
160924,0.85
160925,0.35
160926,0.52
160927,0.12
160928,0.06
160929,0.46
160930,0.89
160931,0.48
160932,0.73
160933,0.3
160934,0.58
160935,0.41
160936,0.38
160937,0.52
160938,0.04
160939,0.43
160940,0.49
160941,0.15
160942,0.32
160943,0.13
160944,0.1
160945,0.71
160946,0.85
160947,0.16
160948,0.83
160949,0.12
160950,0.78
160951,0.37
160952,0.58
160953,0.67
160954,0.06
160955,0.4
160956,0.31
160957,0.22
160958,0.26
160959,0.67
160960,0.55
160961,0.34
160962,0.55
160963,0.96
160964,0.6
160965,0.61
160966,0.02
160967,0.6
160968,0.06
160969,0.48
160970,0.29
160971,0.13
160972,0.67
160973,0.43
160974,0.29
160975,0.01
160976,0.06
160977,0.75
160978,0.04
160979,0.5
160980,0.12
160981,0.05
160982,0.42
160983,0.36
160984,0.49
160985,0.22
160986,0.35
160987,0.54
160988,0.09
160989,0.26
160990,0.51
160991,0.16
160992,0.63
160993,0.08
160994,0.69
160995,0.06
160996,0.07
160997,0.83
160998,0.15
160999,0.81
161000,0.14
161001,0.04
161002,0.07
161003,0.27
161004,0.37
161005,0.66
161006,0.53
161007,0.27
161008,0.12
161009,0.07
161010,0.13
161011,0.74
161012,0.33
161013,0.81
161014,0.09
161015,0.36
161016,0.76
161017,0.86
161018,0.03
161019,0.84
161020,0.97
161021,0.46
161022,0.56
161023,0.13
161024,0.83
161025,0.18
161026,0.88
161027,0.45
161028,0.38
161029,0.22
161030,0.09
161031,0.53
161032,0.45
161033,0.27
161034,0.69
161035,0.81
161036,0.08
161037,0.51
161038,0.43
161039,0.7
161040,0.35
161041,0.46
161042,0.27
161043,0.8
161044,0.65
161045,0.5
161046,0.64
161047,0.31
161048,0.49
161049,0.72
161050,0.53
161051,0.38
161052,0.32
161053,0.75
161054,0.37
161055,0.22
161056,0.63
161057,0.52
161058,0.3
161059,0.16
161060,0.92
161061,0.81
161062,0.75
161063,0.2
161064,0.64
161065,0.05
161066,0.28
161067,0.55
161068,0.19
161069,0.22
161070,0.29
161071,0.07
161072,0.31
161073,0.41
161074,0.29
161075,0.6
161076,0.53
161077,0.18
161078,0.44
161079,0.11
161080,0.43
161081,0.67
161082,0.05
161083,0.19
161084,0.94
161085,0.39
161086,0.38
161087,0.28
161088,0.45
161089,0.71
161090,0.39
161091,0.45
161092,0.7
161093,0.74
161094,0.2
161095,0.63
161096,0.41
161097,0.59
161098,0.24
161099,0.02
161100,0.54
161101,0.05
161102,0.34
161103,0.49
161104,0.06
161105,0.66
161106,0.13
161107,0.56
161108,0.48
161109,0.6
161110,0.52
161111,0.86
161112,0.18
161113,0.24
161114,0.09
161115,0.27
161116,0.19
161117,0.05
161118,0.2
161119,0.29
161120,0.26
161121,0.16
161122,0.34
161123,0.76
161124,0.24
161125,0.34
161126,0.69
161127,0.84
161128,0.1
161129,0.3
161130,0.76
161131,0.87
161132,0.45
161133,0.83
161134,0.76
161135,0.1
161136,0.52
161137,0.07
161138,0.29
161139,0.52
161140,0.27
161141,0.79
161142,0.84
161143,0.77
161144,0.28
161145,0.37
161146,0.46
161147,0.65
161148,0.71
161149,0.87
161150,0.16
161151,0.7
161152,0.13
161153,0.48
161154,0.37
161155,0.49
161156,0.17
161157,0.68
161158,0.61
161159,0.55
161160,0.48
161161,0.57
161162,0.37
161163,0.27
161164,0.24
161165,0.25
161166,0.28
161167,0.7
161168,0.66
161169,0.1
161170,0.24
161171,0.15
161172,0.12
161173,0.61
161174,0.46
161175,0.47
161176,0.75
161177,0.64
161178,0.22
161179,0.67
161180,0.2
161181,0.5
161182,0.45
161183,0.88
161184,0.16
161185,0.58
161186,0.34
161187,0.85
161188,0.53
161189,0.3
161190,0.95
161191,0.07
161192,0.49
161193,0.2
161194,0.15
161195,0.06
161196,0.21
161197,0.39
161198,0.13
161199,0.79
161200,0.05
161201,0.43
161202,0.34
161203,0.17
161204,0.5
161205,0.65
161206,0.42
161207,0.16
161208,0.18
161209,0.1
161210,0.15
161211,0.94
161212,0.99
161213,0.75
161214,0.28
161215,0.05
161216,0.32
161217,0.39
161218,0.25
161219,0.13
161220,0.9
161221,0.23
161222,0.33
161223,0.08
161224,0.58
161225,0.59
161226,0.68
161227,0.1
161228,0.08
161229,0.12
161230,0.66
161231,0.22
161232,0.53
161233,0.46
161234,0.22
161235,0.2
161236,0.05
161237,0.04
161238,0.35
161239,0.93
161240,0.6
161241,0.14
161242,0.84
161243,0.96
161244,0.18
161245,0.6
161246,0.51
161247,0.5
161248,0.02
161249,0.34
161250,0.51
161251,0.14
161252,0.13
161253,0.38
